"Item Code","Item Name"
1,"Apple Delicious"
2,"Apple Simla"
3,"Apple Economy"
4,"Apple Washington"
5,"Apple Australia"
6,"Apple Newzeland"
7,"Apple Fuji chaina"
8,"Apple hazarath palli"
9,"Apple Green smith"
10,"Apple Golden delicious"
11,"Banana pachabale"
12,"Banana Yellaki"
13,"Banana chandra"
14,"Banana Nendra"
15,"Banana karpura"
16,"Banana Rasabale"
17,"Chicco(Sapota) rapined"
18,"Custerd Apple"
19,"Chicco(Sapota)"
20,"Guava"
21,"Guava Allahabad(Red)"
22,"Grapes Blore blue"
23,"GrapesAnabi shahi"
24,"Grapes Dilkush"
25,"Grapes Sharad"
26,"Grapes Rose"
27,"Grapes Sonika"
28,"Grapes Flame"
29,"Grapes Krishna sharad"
30,"Grapes Crimson"
31,"Grapes T.S."
32,"Grapes Red globe"
33,"Grapes Dry 250gm"
34,"Grapes Dry 100gm"
35,"Jack fruit"
36,"Indian Black globe Grapes"
37,"Papaya red indian"
38,"Mango"
39,"Mango Badami"
40,"Mango Alphans"
41,"Mango Raspuri"
42,"Mango Sendura"
43,"Mango Bygan palli"
44,"Mango malagova"
45,"Mango mallika"
46,"Mango thotapuri"
47,"Mango kalapadu"
48,"Mango Neelam"
49,"Mango Dasheri"
50,"Mango Langada"
51,"Mango Kesar"
52,"Mango Amarpalli"
53,"Mango rathnagiri(red)"
54,"Mango Alphans box"
55,"Mango sakkaregutti"
56,"Orange"
57,"Orange Nagpura"
58,"Orange Ooty"
59,"Orange Australia"
60,"Orange malt"
61,"Orange South Africa"
62,"Pomegranate"
63,"Pomegranate Bhagav"
64,"Pomegranate A.raktha"
65,"Pomegranate Ganesh"
66,"Papaya nati"
67,"Papaya Taiwan"
68,"Papaya Red lady"
69,"Papaya sola"
70,"Pineapple"
71,"Plum Ooty"
72,"Plum Australia"
73,"Peaches"
74,"Pomello/Chakotha"
75,"Rose apple"
76,"Rampal"
77,"Tamarind sweet 500gm"
78,"Watermellon"
79,"Watermellon kiran"
80,"S.mellon namdhari"
81,"Mosambi"
82,"Mosambi polo"
83,"S.mellon namdhari (Red)"
84,"S.mellon Local (Luck)"
85,"Bore fruit"
86,"Butter fruit"
87,"Anjura/Fig"
88,"Peas seeds"
89,"Bread fruit"
90,"Apple Chilli"
91,"Indian red globe"
92,"Washington red apple"
93,"Apple Premium"
94,"Malenian apple"
95,"Nagapur Orange Economy"
96,"South Af.red berry"
97,"Jumbu juice"
98,"Brahmi amla juice"
99,"Pomegranate Juice"
100,"N.Juice 200 ml"
101,"Amla"
102,"Beans"
103,"Beans Nati"
104,"Beans Ring"
105,"Beans Fruit"
106,"Beans cleaned"
107,"Brinjal long"
108,"Brinjal (W)"
109,"Brinjal (R)"
110,"Brinjal Bottle"
111,"Brinjal Mlore"
112,"Beet Root"
113,"Yam/S.Root"
114,"Bitter Gourd"
115,"Bottle Gourd"
116,"Chow-Chow"
117,"Cucumber"
118,"Cucumber Nati"
119,"Cucumber Israle"
120,"Cucumber Ooty"
121,"Mangalore cucumber"
122,"Cluster Bean Local"
123,"Capsicum"
124,"Capsicum 1"
125,"Capsicum Red/Yellow"
126,"Chillies Green"
127,"Chillies Bajji"
128,"Chillies Cleaned"
129,"Chillies small (C.B.P)"
130,"Carrot ooty"
131,"Carrot Delhi"
132,"Carrot Nati"
133,"Cowpea Local"
134,"Cowpea Long"
135,"Coconut (B)"
136,"Coconut (M)"
137,"Coconut (S)"
138,"Coconut (OS)"
139,"Cabbage"
140,"Cabbage Red"
141,"Cabbage chaina"
142,"Cauliflower(B)"
143,"Cauliflower(M)"
144,"Cauliflower(S)"
145,"Cauliflower per Kg"
146,"Cherry Tomoto"
147,"Drumstik"
148,"Double Beans seeds"
149,"Double Beans"
150,"Ground nut Local"
151,"Ground nut Hybrid"
152,"Ginger"
153,"Ginger New"
154,"Ginger ooty"
155,"Herali kai"
156,"Ladys finger"
157,"Little gourd"
158,"Lime Local"
